Year,Date,Amount,Description,Category,Sold By,Importance
2022,12/04/2022,60.29,"Bird Feeding Dish Cups, DELFINO Stainless Steel Parrot Feeding Cups, Animal Cage Water Food Bowl Bird Cage Cups Holder with Clamp Holder for Bird Parrot Water Food Dish Feeder - 10x4.5cm, 3 Pieces",Pet Acessories,SunnyFashion★★★★★,Medium
2022,12/04/2022,36.43,Mumoo Bear 6 Pcs Bird Swing Toys Bell Colorful Natural Wood Hammock Hanging Perch,Pet Acessories,Amazon.ae,Medium
2022,12/04/2022,69.00,"Natural Wood Bird Perch Stand, Hanging Multi Branch Perch for Parrots, Parakeets Cockatiels, Conures, Macaws, Love Birds, Finches",Pet Acessories,SunnyFashion★★★★★,Medium
2022,12/04/2022,30.18,ANTOLE Bird Parrot Small Animal Stainless Steel Fruit Vegetable Holder Seed Treat Fruit Skewer Cage Accessory Fruit Fork,Pet Acessories,Pet House,Medium
2022,12/04/2022,56.99,"10Pcs Bird Swing Toys Parrot Chewing Toys Hanging Perches with Bells Finch Toys for Parrots, Parakeet, Conure, Cockatiel, Mynah, Love Birds",Pet Acessories,MQFORU-UAE,Medium
2022,12/04/2022,37.98,POPETPOP 2pcs Bird Food Holder Bird Feeder Stainless Steel Parrot Hanging Vegetable Fruit Feeder Bird Treat Skewers Bird Parrots Foraging Toys,Pet Acessories,DDG-SHOP,Low 
2022,12/04/2022,27.50,ANTOLE Parrot Natural Standing Wood Stick Bird Cage Perch Cockatiel Parakeet Claw Grinding Toys Bird Cage Accessories Wild Grape Wood,Pet Acessories,Pet House,Medium
2022,12/04/2022,28.59,"
ANTOLE 20cm Parrot Bird Natural Logs Branch Bird Bite Claw Grinding Pepper Wood Standing Stick Perches",Pet Acessories,Pet House,Medium
2022,12/04/2022,53.90,NeoStyle Parrot Toy Birds Stand Stick Stop Lever Perch Prickly Ash Wood Frame Station Supplies Appliances Birds Birds Chew Toys Combination Packages (Five pieces),Pet Acessories,SunnyCollection,Medium
2022,01/05/2022,32.95,"HONEY BEAR Mens Initial Alphabet Letter Tie Clip Bar - for Skinny Narrow Size Tie, Stainless Steel for Business Wedding Gift,4cm,Brushed Silver,A - Z (A)",Styling Acessories ,PINGFANG DIRECT,Low 
2022,01/05/2022,56.42,Jack & Jones Men's Trunks (Pack Of 3),Garments,Amazon.ae,High
2022,01/05/2022,45.30,"Old Spice Original Shower Gel For Men, 3 x 250 ml",Toiletries ,Amazon.ae,High
2022,08/05/2022,32.95,"HONEY BEAR Mens Tie Clip Bar - Normal Size Stainless Steel for Business Wedding Gift,5.4cm (Shinny Silver)",Styling Acessories ,PINGFANG DIRECT,High
2022,01/06/2022,21.90,"Teeba Peanut Oil, 250 ml",Food Consumable ,Amazon.ae,Medium
2022,01/06/2022,9.75,"Indomie Rendang Fried Noodles, 5 X 80 gm (Pack of 1)",Food Consumable ,Amazon.ae,Medium
2022,09/06/022,21.70,"Bio Balance Organic Aloe Vera Shampoo, 330 Ml",Toiletries ,Amazon.ae,High
2022,14/06/2022,47.00,Aven-gers Hulk Gloves Figures Toys Hulk Fists Cosplay Gloves Marvel Legends Gamma Grip Model Toy Gifts For Children,Gifts ,DIRECT 2 U GENERAL TRADING,Medium
2022,14/06/2022,22.84,"Bio Balance Organic Citrus Shampoo, 330 ml, 129205",Toiletries ,NUTRIPHARM LLC,High
2022,03/07/2022,136.68,Jiu-Jitsu University,Books ,Amazon.ae,Medium
2022,03/07/2022,22.84,"Bio Balance Organic Aloe Vera Shampoo, 330 Ml",Toiletries ,Amazon.ae,High
2022,03/07/2022,44.90,"FIGHTR Premium Mouth Guard - for Excellent Breathing & Easy to fit | Sports Mouth Guard for Boxing, MMA, Football, Lacrosse, Hockey and Other Sports |",BJJ Accessories, FIGHTR,Medium
2022,03/07/2022,66.00,Beaphar - XtraVital Parrot Feed - 2.5kg,Pet Acessories,mypaws,High
2022,06/07/2022,29.99,"Baytion Blue Light Blocking Glasses, Blue Light Filter Eyewear Anti Eyestrain & UV Glare, Non Prescription Retro Eyeglasses Frame for TV Computer Gami",Styling Acessories ,Baytion AE,Medium
2022,06/07/2022,37.99,"Baytion Blue Light Filter Eyewear for Men & Women, Anti Blue Light Eyestrain & UV Glare Blocking,TV Computer Gaming Glasses,Black",Styling Acessories ,CFM global store,Medium
